car_id,brand,model,price_lakh,fuel_type,mileage_kmpl,city,sales_person_rating,customer_review
86,Honda,City,43.99,Hybrid,18.34,Ahmedabad,4.0,Amazing experience overall
87,Tata,Nexon,39.53,Hybrid,15.63,Ahmedabad,3.8,Could be better in terms of features
88,BMW,i20,70.72,Diesel,19.58,Mumbai,3.0,Value for money car
89,Maruti,Fortuner,5.05,Petrol,16.5,Chennai,3.2,Could be better in terms of features
90,Honda,Nexon,14.13,Hybrid,26.34,Chennai,4.5,Excellent features and comfort
91,Kia,Nexon,67.29,Diesel,24.86,Pune,4.2,Value for money car
92,BMW,i20,46.71,Diesel,20.1,Pune,4.7,Could be better in terms of features
93,Honda,Swift,74.56,Electric,27.12,Mumbai,2.8,Not satisfied with service
94,Mahindra,Swift,19.39,Electric,26.78,Mumbai,3.2,Amazing experience overall
95,Mahindra,i20,21.38,Petrol,16.52,Mumbai,2.8,Amazing experience overall
96,Mahindra,XUV700,71.25,Diesel,19.53,Ahmedabad,3.0,Amazing experience overall
97,Mahindra,i20,31.8,Electric,18.96,Mumbai,4.9,Could be better in terms of features
98,Kia,Seltos,13.3,Electric,17.17,Pune,4.9,Not satisfied with service
99,Kia,X5,11.82,Petrol,23.96,Pune,2.9,Mileage is decent but price is high
100,Hyundai,Fortuner,54.73,Electric,11.82,Mumbai,4.1,Not satisfied with service
101,Honda,X5,27.96,Petrol,20.4,Delhi,3.1,Great performance and smooth drive
102,Hyundai,City,21.83,Hybrid,13.17,Bangalore,4.3,Mileage is decent but price is high
103,Mahindra,X5,22.24,Hybrid,11.6,Chennai,4.1,Excellent features and comfort
104,Honda,X5,11.85,Hybrid,13.32,Ahmedabad,4.5,Could be better in terms of features
105,Maruti,Seltos,26.32,Diesel,23.76,Mumbai,4.9,Value for money car
106,Hyundai,Swift,11.86,Petrol,29.54,Bangalore,4.4,Great performance and smooth drive
107,Hyundai,City,35.91,Diesel,22.03,Chennai,4.5,Amazing experience overall
108,Kia,Nexon,55.7,Diesel,22.52,Delhi,4.0,Amazing experience overall
109,Kia,City,6.52,Hybrid,20.36,Pune,4.5,Mileage is decent but price is high
110,Toyota,X5,34.75,Electric,22.17,Chennai,3.8,Could be better in terms of features
111,Mahindra,Swift,64.25,Diesel,14.29,Bangalore,3.6,Mileage is decent but price is high
112,Honda,X5,62.67,Electric,17.19,Chennai,4.4,Amazing experience overall
113,Mahindra,XUV700,17.04,Petrol,20.57,Bangalore,2.7,Could be better in terms of features
114,Hyundai,Seltos,35.28,Petrol,15.87,Mumbai,4.7,Mileage is decent but price is high
115,Tata,Nexon,48.4,Hybrid,11.17,Pune,4.5,Mileage is decent but price is high
116,Honda,XUV700,24.41,Diesel,26.88,Chennai,2.8,Great performance and smooth drive
117,Honda,X5,69.51,Diesel,16.84,Pune,3.8,Value for money car
118,Maruti,i20,56.82,Hybrid,16.64,Chennai,4.5,Great performance and smooth drive
119,Honda,Nexon,5.95,Electric,15.27,Delhi,2.9,Amazing experience overall
120,BMW,Seltos,59.17,Hybrid,13.28,Bangalore,2.8,Excellent features and comfort
121,Mahindra,Seltos,19.69,Diesel,23.0,Pune,3.1,Great performance and smooth drive
122,BMW,XUV700,62.47,Diesel,26.09,Pune,3.2,Amazing experience overall
123,Hyundai,XUV700,40.3,Diesel,20.39,Mumbai,4.2,Value for money car
124,Hyundai,Swift,54.28,Petrol,13.29,Delhi,4.8,Excellent features and comfort
125,Kia,X5,77.65,Diesel,27.6,Ahmedabad,4.4,Amazing experience overall
126,Tata,City,47.22,Petrol,22.41,Chennai,4.6,Great performance and smooth drive
127,Tata,Nexon,31.33,Petrol,18.27,Bangalore,2.9,Excellent features and comfort
128,Maruti,Swift,51.51,Hybrid,14.55,Ahmedabad,3.0,Value for money car
129,Tata,Seltos,74.92,Electric,21.89,Delhi,4.0,Mileage is decent but price is high
130,Kia,Fortuner,13.29,Electric,26.78,Chennai,2.8,Amazing experience overall
131,Toyota,X5,59.69,Petrol,27.91,Bangalore,2.6,Mileage is decent but price is high
132,Kia,Seltos,47.52,Hybrid,24.56,Ahmedabad,4.8,Value for money car
133,Honda,X5,39.61,Hybrid,23.71,Chennai,4.6,Amazing experience overall
134,Tata,Seltos,49.03,Diesel,26.83,Pune,3.0,Excellent features and comfort
135,Mahindra,XUV700,69.62,Petrol,12.49,Mumbai,3.7,Great performance and smooth drive
136,Toyota,Swift,70.42,Electric,11.54,Bangalore,4.7,Value for money car
137,Toyota,X5,29.63,Electric,24.95,Mumbai,3.3,Great performance and smooth drive
138,Hyundai,City,69.2,Hybrid,15.07,Chennai,3.4,Not satisfied with service
139,Toyota,Nexon,7.11,Petrol,13.01,Ahmedabad,4.7,Great performance and smooth drive
140,Kia,XUV700,18.26,Diesel,17.07,Delhi,3.8,Value for money car
141,Toyota,Fortuner,60.94,Electric,10.43,Mumbai,2.6,Mileage is decent but price is high
142,Hyundai,Seltos,57.86,Diesel,10.1,Ahmedabad,3.5,Not satisfied with service
143,Hyundai,Swift,66.01,Diesel,14.51,Mumbai,3.8,Excellent features and comfort
144,Tata,Nexon,66.72,Hybrid,21.55,Chennai,3.7,Not satisfied with service
145,Mahindra,City,30.38,Electric,17.02,Bangalore,3.5,Great performance and smooth drive
146,Maruti,Seltos,19.85,Electric,23.83,Mumbai,2.7,Could be better in terms of features
147,Hyundai,Fortuner,14.56,Diesel,14.39,Mumbai,4.2,Not satisfied with service
148,BMW,Seltos,50.45,Hybrid,11.55,Ahmedabad,3.3,Amazing experience overall
149,Maruti,XUV700,21.12,Petrol,11.65,Chennai,3.7,Could be better in terms of features
150,BMW,Nexon,5.54,Hybrid,13.11,Chennai,4.8,Great performance and smooth drive
151,Honda,Fortuner,24.1,Diesel,13.74,Delhi,2.5,Value for money car
152,Mahindra,Seltos,21.21,Hybrid,15.64,Pune,3.4,Value for money car
153,Maruti,Seltos,79.51,Electric,25.7,Ahmedabad,4.1,Mileage is decent but price is high
154,Kia,City,12.58,Hybrid,12.06,Mumbai,4.2,Excellent features and comfort
155,Maruti,City,7.52,Hybrid,18.57,Chennai,3.5,Not satisfied with service
156,Honda,XUV700,6.58,Electric,29.83,Delhi,4.1,Value for money car
157,Honda,Nexon,26.16,Hybrid,17.84,Pune,3.0,Value for money car
158,Mahindra,i20,12.67,Hybrid,18.72,Chennai,3.0,Value for money car
159,Toyota,X5,62.2,Diesel,20.25,Delhi,2.7,Could be better in terms of features
160,Maruti,i20,19.27,Diesel,22.66,Mumbai,4.5,Value for money car
161,Hyundai,XUV700,78.87,Electric,18.64,Pune,3.8,Not satisfied with service
162,Honda,i20,32.81,Electric,21.99,Chennai,4.1,Mileage is decent but price is high
163,Maruti,Swift,70.54,Hybrid,23.0,Delhi,4.5,Value for money car
164,Toyota,Nexon,43.29,Hybrid,24.99,Ahmedabad,3.8,Not satisfied with service
165,Kia,X5,32.17,Electric,14.41,Chennai,4.5,Value for money car
166,Kia,City,69.53,Diesel,21.58,Ahmedabad,5.0,Not satisfied with service
167,Toyota,Seltos,29.04,Petrol,29.87,Delhi,3.5,Amazing experience overall
168,Maruti,XUV700,15.82,Petrol,24.9,Chennai,4.6,Could be better in terms of features
169,Kia,Swift,57.66,Hybrid,25.23,Bangalore,3.7,Could be better in terms of features
170,Maruti,X5,71.5,Hybrid,12.35,Pune,3.8,Could be better in terms of features
171,Kia,City,72.78,Hybrid,20.67,Pune,2.7,Excellent features and comfort
172,Honda,Nexon,12.7,Diesel,26.57,Bangalore,4.8,Excellent features and comfort
173,Maruti,i20,17.71,Diesel,13.22,Ahmedabad,4.5,Not satisfied with service
174,Toyota,Fortuner,20.76,Petrol,22.33,Delhi,3.2,Excellent features and comfort
175,BMW,XUV700,59.52,Electric,23.45,Pune,2.8,Not satisfied with service
176,Kia,i20,77.09,Diesel,27.29,Pune,4.6,Not satisfied with service
177,Kia,i20,41.74,Hybrid,22.62,Pune,4.0,Excellent features and comfort
178,Hyundai,Swift,64.01,Diesel,25.84,Bangalore,3.7,Value for money car
179,Kia,Swift,21.14,Electric,19.42,Pune,4.4,Value for money car
180,Maruti,Seltos,63.03,Hybrid,20.72,Delhi,2.5,Excellent features and comfort
181,Hyundai,Swift,8.24,Electric,27.63,Chennai,3.1,Mileage is decent but price is high
182,Honda,Seltos,29.24,Diesel,25.17,Chennai,3.0,Amazing experience overall
183,Honda,X5,13.49,Hybrid,22.66,Bangalore,3.0,Mileage is decent but price is high
184,Tata,X5,8.86,Petrol,28.05,Pune,4.3,Great performance and smooth drive
185,Toyota,i20,6.34,Petrol,28.4,Pune,3.1,Could be better in terms of features
186,Mahindra,Swift,42.22,Hybrid,27.67,Delhi,2.9,Mileage is decent but price is high
187,Toyota,Seltos,67.8,Hybrid,12.83,Delhi,3.6,Amazing experience overall
188,Mahindra,XUV700,46.85,Diesel,24.49,Chennai,4.2,Not satisfied with service
189,Kia,Fortuner,63.31,Electric,28.18,Pune,3.8,Great performance and smooth drive
190,Mahindra,X5,62.99,Diesel,14.41,Ahmedabad,3.5,Great performance and smooth drive
191,Toyota,i20,38.18,Diesel,13.62,Delhi,2.9,Value for money car
192,Kia,Nexon,79.17,Electric,10.82,Chennai,4.3,Amazing experience overall
193,Toyota,Swift,55.04,Diesel,12.84,Pune,2.8,Could be better in terms of features
194,Honda,i20,65.15,Diesel,13.51,Bangalore,2.6,Great performance and smooth drive
195,Kia,Nexon,47.27,Hybrid,23.57,Bangalore,4.1,Mileage is decent but price is high
196,Hyundai,X5,48.5,Hybrid,12.78,Bangalore,4.8,Value for money car
197,Toyota,Seltos,15.48,Diesel,26.72,Mumbai,4.0,Not satisfied with service
198,Toyota,Nexon,16.64,Electric,20.52,Delhi,3.8,Not satisfied with service
199,Toyota,Seltos,34.48,Petrol,27.88,Bangalore,3.9,Could be better in terms of features
200,Tata,City,19.75,Electric,22.18,Delhi,3.1,Mileage is decent but price is high
201,Tata,Nexon,17.14,Petrol,23.5,Bangalore,3.8,Mileage is decent but price is high
202,Toyota,i20,19.46,Electric,24.03,Ahmedabad,3.2,Value for money car
203,Maruti,Swift,10.55,Petrol,28.28,Bangalore,4.1,Mileage is decent but price is high
204,Toyota,XUV700,36.43,Hybrid,16.32,Ahmedabad,2.6,Could be better in terms of features
205,Mahindra,X5,20.36,Electric,27.15,Chennai,4.4,Could be better in terms of features
206,Maruti,Nexon,46.63,Hybrid,16.85,Chennai,4.4,Mileage is decent but price is high
207,Honda,Seltos,61.28,Petrol,16.63,Chennai,3.1,Great performance and smooth drive
208,BMW,Fortuner,15.41,Petrol,19.08,Delhi,4.5,Value for money car
209,Toyota,X5,20.35,Petrol,27.75,Ahmedabad,3.6,Excellent features and comfort
210,Tata,City,59.35,Diesel,14.05,Bangalore,3.2,Amazing experience overall
211,Kia,Nexon,17.24,Electric,24.32,Pune,2.8,Mileage is decent but price is high
212,BMW,i20,54.17,Hybrid,29.9,Chennai,3.2,Not satisfied with service
213,Mahindra,Swift,70.03,Hybrid,14.88,Delhi,2.6,Could be better in terms of features
214,Honda,Nexon,30.58,Hybrid,14.94,Chennai,3.1,Value for money car
215,Hyundai,Fortuner,7.77,Electric,28.36,Delhi,2.8,Excellent features and comfort
216,BMW,City,61.77,Hybrid,22.18,Mumbai,3.1,Could be better in terms of features
217,Mahindra,XUV700,27.18,Petrol,23.43,Pune,4.6,Great performance and smooth drive
218,Hyundai,Swift,60.01,Electric,16.72,Pune,4.0,Amazing experience overall
219,Tata,Swift,73.89,Diesel,27.95,Mumbai,4.6,Value for money car
220,Honda,i20,44.99,Petrol,18.51,Pune,4.3,Mileage is decent but price is high
221,Toyota,Seltos,51.34,Petrol,21.04,Chennai,4.7,Great performance and smooth drive
222,BMW,Swift,23.07,Hybrid,17.39,Bangalore,3.4,Value for money car
223,Toyota,i20,7.99,Hybrid,16.47,Bangalore,4.5,Not satisfied with service
224,Tata,Swift,45.99,Hybrid,22.67,Delhi,4.9,Great performance and smooth drive
225,Honda,XUV700,65.99,Petrol,13.43,Chennai,4.7,Not satisfied with service
226,Hyundai,City,66.85,Hybrid,12.06,Bangalore,3.7,Mileage is decent but price is high
227,Maruti,X5,67.86,Hybrid,10.35,Ahmedabad,4.8,Could be better in terms of features
228,Mahindra,i20,57.27,Hybrid,25.43,Pune,5.0,Value for money car
229,Toyota,Swift,28.93,Petrol,24.95,Pune,4.7,Amazing experience overall
230,Mahindra,Seltos,15.2,Hybrid,24.99,Chennai,4.8,Value for money car
231,Honda,Seltos,25.45,Diesel,14.43,Chennai,4.7,Great performance and smooth drive
232,Maruti,Seltos,53.44,Diesel,14.68,Mumbai,4.8,Excellent features and comfort
233,Toyota,Nexon,31.66,Hybrid,23.46,Delhi,4.0,Could be better in terms of features
234,Kia,Swift,19.13,Electric,27.42,Bangalore,2.8,Amazing experience overall
235,Mahindra,Nexon,24.36,Petrol,13.21,Pune,2.8,Could be better in terms of features
236,Toyota,Seltos,67.22,Petrol,12.68,Mumbai,4.0,Could be better in terms of features
237,Mahindra,XUV700,13.97,Petrol,22.59,Delhi,4.5,Could be better in terms of features
238,Mahindra,City,7.29,Petrol,22.9,Bangalore,2.6,Amazing experience overall
239,Mahindra,XUV700,36.55,Petrol,24.04,Mumbai,3.3,Could be better in terms of features
240,Toyota,Seltos,18.44,Hybrid,11.53,Chennai,4.3,Excellent features and comfort
241,Maruti,i20,15.48,Diesel,10.33,Delhi,4.2,Not satisfied with service
242,Toyota,i20,5.84,Petrol,28.89,Chennai,3.7,Excellent features and comfort
243,Maruti,Swift,43.59,Diesel,27.64,Bangalore,3.2,Could be better in terms of features
244,Kia,Fortuner,6.03,Diesel,27.29,Bangalore,3.4,Value for money car
245,Tata,Nexon,62.2,Electric,20.79,Pune,4.2,Not satisfied with service
246,Kia,i20,32.08,Diesel,12.33,Delhi,4.1,Great performance and smooth drive
247,Hyundai,Swift,23.49,Electric,16.03,Pune,3.3,Value for money car
248,Toyota,Seltos,71.46,Electric,24.57,Ahmedabad,3.0,Amazing experience overall
249,Honda,Swift,45.63,Diesel,27.1,Ahmedabad,4.9,Excellent features and comfort
250,Hyundai,Nexon,68.4,Petrol,27.96,Mumbai,3.0,Not satisfied with service
251,Mahindra,Swift,40.29,Diesel,26.17,Pune,2.8,Mileage is decent but price is high
252,Maruti,i20,59.92,Diesel,14.61,Chennai,3.3,Value for money car
253,Kia,Seltos,43.8,Hybrid,15.54,Delhi,3.0,Amazing experience overall
254,Mahindra,Nexon,39.73,Petrol,11.55,Delhi,3.8,Great performance and smooth drive
255,Tata,XUV700,18.12,Electric,16.92,Pune,4.4,Great performance and smooth drive
256,Mahindra,Swift,76.31,Hybrid,10.09,Mumbai,3.8,Could be better in terms of features
257,Hyundai,City,69.25,Petrol,19.21,Mumbai,2.7,Mileage is decent but price is high
258,Maruti,Swift,67.04,Electric,26.7,Bangalore,4.5,Great performance and smooth drive
259,Honda,Swift,77.58,Petrol,12.42,Pune,3.3,Not satisfied with service
260,Tata,XUV700,46.13,Diesel,13.94,Ahmedabad,4.0,Not satisfied with service
261,Mahindra,X5,24.03,Electric,29.4,Ahmedabad,3.9,Could be better in terms of features
262,BMW,Seltos,26.25,Petrol,17.58,Pune,2.5,Not satisfied with service
263,Tata,City,32.2,Electric,28.85,Pune,4.0,Not satisfied with service
264,Toyota,XUV700,13.53,Electric,10.65,Mumbai,3.1,Mileage is decent but price is high
265,Toyota,City,9.64,Petrol,29.3,Pune,2.6,Value for money car
266,Mahindra,City,33.84,Diesel,10.09,Bangalore,2.6,Could be better in terms of features
267,Tata,Seltos,46.8,Hybrid,10.92,Delhi,3.5,Not satisfied with service
268,Kia,City,27.41,Diesel,28.97,Bangalore,2.9,Not satisfied with service
269,Honda,City,64.95,Diesel,17.37,Delhi,4.3,Mileage is decent but price is high
270,Kia,Nexon,65.4,Hybrid,27.2,Ahmedabad,2.6,Not satisfied with service
271,Mahindra,Nexon,62.21,Electric,29.38,Delhi,4.7,Not satisfied with service
272,Kia,Seltos,59.93,Electric,24.78,Ahmedabad,2.9,Value for money car
273,Toyota,Seltos,15.79,Diesel,12.05,Chennai,4.3,Amazing experience overall
274,Maruti,i20,43.68,Electric,15.78,Chennai,2.7,Great performance and smooth drive
275,Mahindra,Seltos,5.8,Diesel,10.23,Ahmedabad,4.6,Excellent features and comfort
276,Kia,i20,40.74,Petrol,21.7,Pune,2.8,Excellent features and comfort
277,Maruti,i20,52.43,Diesel,17.54,Chennai,4.5,Mileage is decent but price is high
278,Maruti,XUV700,12.04,Hybrid,22.93,Mumbai,4.4,Great performance and smooth drive
279,Toyota,Seltos,79.94,Hybrid,17.34,Delhi,5.0,Could be better in terms of features
280,Mahindra,i20,60.14,Hybrid,15.63,Mumbai,4.6,Could be better in terms of features
281,Kia,XUV700,29.28,Electric,17.63,Mumbai,3.2,Value for money car
282,Mahindra,i20,43.81,Electric,25.73,Pune,3.5,Amazing experience overall
283,Kia,X5,15.6,Hybrid,27.61,Mumbai,4.0,Value for money car
284,Tata,Swift,45.35,Diesel,20.3,Bangalore,4.2,Amazing experience overall
285,Mahindra,City,35.88,Electric,27.21,Chennai,4.5,Could be better in terms of features
286,Hyundai,X5,39.04,Diesel,29.23,Mumbai,2.5,Value for money car
287,Maruti,i20,51.37,Petrol,19.25,Chennai,2.5,Not satisfied with service
288,Mahindra,Nexon,64.32,Hybrid,16.04,Chennai,3.8,Could be better in terms of features
289,Honda,Fortuner,55.51,Diesel,28.13,Chennai,4.1,Mileage is decent but price is high
290,Mahindra,XUV700,9.14,Hybrid,13.89,Pune,3.4,Not satisfied with service
291,Hyundai,City,30.79,Electric,18.36,Bangalore,2.8,Amazing experience overall
292,Honda,Nexon,53.4,Diesel,13.53,Ahmedabad,2.6,Mileage is decent but price is high
293,BMW,Swift,39.72,Diesel,22.21,Mumbai,3.9,Could be better in terms of features
294,Mahindra,Swift,39.61,Electric,10.42,Mumbai,2.6,Not satisfied with service
295,Toyota,X5,16.94,Hybrid,25.79,Mumbai,4.3,Mileage is decent but price is high
296,Toyota,City,10.7,Hybrid,27.76,Ahmedabad,3.4,Not satisfied with service
297,BMW,City,41.45,Petrol,19.01,Chennai,3.6,Amazing experience overall
298,Mahindra,City,62.57,Petrol,18.65,Pune,4.4,Could be better in terms of features
299,Mahindra,Fortuner,59.71,Electric,14.28,Mumbai,4.3,Excellent features and comfort
300,Hyundai,Nexon,51.21,Hybrid,16.55,Delhi,4.8,Amazing experience overall
301,Toyota,X5,22.1,Petrol,11.38,Delhi,2.9,Amazing experience overall
302,Toyota,Nexon,45.62,Diesel,21.35,Bangalore,3.1,Excellent features and comfort
303,Honda,X5,29.7,Petrol,17.7,Delhi,4.6,Amazing experience overall
304,Toyota,i20,72.68,Hybrid,20.44,Bangalore,3.8,Excellent features and comfort
305,BMW,XUV700,17.01,Diesel,16.35,Bangalore,4.6,Mileage is decent but price is high
306,Kia,XUV700,21.4,Diesel,21.06,Delhi,4.4,Great performance and smooth drive
307,Honda,Fortuner,14.13,Petrol,14.39,Bangalore,4.9,Great performance and smooth drive
308,Maruti,Swift,8.86,Hybrid,27.66,Mumbai,2.8,Could be better in terms of features
309,Mahindra,City,50.5,Electric,24.61,Delhi,4.9,Could be better in terms of features
310,Toyota,Swift,24.31,Electric,10.51,Pune,3.7,Could be better in terms of features
311,Maruti,X5,5.13,Diesel,16.59,Bangalore,3.0,Could be better in terms of features
312,Toyota,Swift,51.57,Petrol,15.91,Ahmedabad,3.3,Great performance and smooth drive
313,Tata,City,26.38,Electric,11.32,Bangalore,4.7,Value for money car
314,Maruti,X5,18.03,Petrol,28.49,Pune,4.3,Excellent features and comfort
315,Mahindra,XUV700,45.93,Hybrid,13.8,Delhi,4.8,Value for money car
316,Mahindra,i20,48.0,Diesel,15.83,Pune,3.7,Could be better in terms of features
317,BMW,Swift,22.27,Hybrid,12.01,Chennai,4.2,Not satisfied with service
318,Mahindra,i20,72.12,Electric,11.33,Mumbai,4.5,Value for money car
319,BMW,Swift,33.42,Electric,12.11,Mumbai,2.7,Value for money car
320,Toyota,XUV700,67.01,Diesel,19.98,Chennai,4.2,Mileage is decent but price is high
321,Hyundai,Fortuner,73.39,Electric,22.49,Pune,4.8,Could be better in terms of features
322,Maruti,Swift,11.98,Petrol,24.43,Bangalore,2.8,Amazing experience overall
323,Tata,Seltos,16.72,Diesel,19.13,Pune,4.1,Excellent features and comfort
324,Tata,Swift,22.9,Hybrid,17.28,Mumbai,3.3,Mileage is decent but price is high
325,Maruti,Nexon,48.33,Electric,17.54,Pune,3.1,Amazing experience overall
